시도명,시군구명,기준년도,유동인구지수(현황)
경기도,수원시 영통구,2017,245484042
경기도,양주시,2017,153858511
경기도,광명시,2017,263171673
경기도,광주시,2017,257263823
경기도,평택시,2017,420820488
경기도,수원시 권선구,2017,220375406
경기도,수원시 장안구,2017,163109929
경기도,안산시 상록구,2017,206180632
경기도,안양시 만안구,2017,183059589
경기도,여주시,2017,121459923
경기도,가평군,2017,100362154
경기도,남양주시,2017,458656006
경기도,오산시,2017,131033016
경기도,용인시 처인구,2017,229019932
경기도,이천시,2017,217889749
경기도,포천시,2017,150077636
경기도,하남시,2017,192139693
경기도,화성시,2017,621341457
경기도,고양시 일산동구,2017,243817985
경기도,구리시,2017,175236747
경기도,김포시,2017,313312717
경기도,동두천시,2017,47781142
경기도,시흥시,2017,371381421
경기도,안성시,2017,206118148
경기도,고양시 덕양구,2017,334281525
경기도,고양시 일산서구,2017,183933470
경기도,과천시,2017,91987306
경기도,양평군,2017,113941682
경기도,의왕시,2017,128627236
경기도,성남시 중원구,2017,140879660
경기도,용인시 수지구,2017,190088345
경기도,성남시 분당구,2017,443326179
경기도,안산시 단원구,2017,263320877
경기도,안양시 동안구,2017,260216644
경기도,용인시 기흥구,2017,310209112
경기도,수원시 팔달구,2017,173470363
경기도,성남시 수정구,2017,174607957
경기도,연천군,2017,30092453
경기도,군포시,2017,175038064
경기도,부천시,2017,589456326
경기도,의정부시,2017,283240407
경기도,파주시,2017,277924204
경기도,고양시 덕양구,2019,348202689
경기도,고양시 일산서구,2019,179637145
경기도,안양시 만안구,2019,166243216
경기도,연천군,2019,30868642
경기도,용인시 기흥구,2019,374576097
경기도,의왕시,2019,160985712
경기도,평택시,2019,547572315
경기도,안산시 상록구,2019,201019522
경기도,용인시 수지구,2019,209655574
경기도,시흥시,2019,435064975
경기도,의정부시,2019,256665494
경기도,동두천시,2019,47443031
경기도,오산시,2019,144787614
경기도,구리시,2019,184433592
경기도,수원시 장안구,2019,142566964
경기도,부천시,2019,424661899
경기도,성남시 분당구,2019,449632850
경기도,과천시,2019,91547362
경기도,포천시,2019,187789849
경기도,안양시 동안구,2019,255447484
경기도,가평군,2019,85178883
경기도,안산시 단원구,2019,261082090
경기도,남양주시,2019,514399131
경기도,이천시,2019,299782657
경기도,고양시 일산동구,2019,219659032
경기도,광주시,2019,309316944
경기도,용인시 처인구,2019,302141463
경기도,성남시 수정구,2019,166506314
경기도,양평군,2019,120619652
경기도,군포시,2019,177634274
경기도,성남시 중원구,2019,124801054
경기도,수원시 팔달구,2019,151800171
경기도,양주시,2019,207642736
경기도,파주시,2019,325532992
경기도,화성시,2019,882854059
경기도,김포시,2019,348645833
경기도,수원시 영통구,2019,261952781
경기도,안성시,2019,250917059
경기도,하남시,2019,225891114
경기도,수원시 권선구,2019,245388987
경기도,여주시,2019,170940024
경기도,광명시,2019,211748212
경기도,동두천시,2018,65257187
경기도,의왕시,2018,226450587
경기도,화성시,2018,1125366934
경기도,군포시,2018,261789754
경기도,수원시 영통구,2018,349366185
경기도,수원시 팔달구,2018,224794646
경기도,가평군,2018,120019680
경기도,안산시 상록구,2018,305626896
경기도,안성시,2018,348707132
경기도,용인시 수지구,2018,294815499
경기도,용인시 처인구,2018,407588642
경기도,이천시,2018,373734553
경기도,오산시,2018,209783995
경기도,수원시 장안구,2018,211770448
경기도,광주시,2018,468209510
경기도,과천시,2018,145702463
경기도,평택시,2018,715447955
경기도,김포시,2018,478437386
경기도,성남시 분당구,2018,656016261
경기도,포천시,2018,262276538
경기도,양평군,2018,168785073
경기도,성남시 중원구,2018,179797156
경기도,하남시,2018,308106168
경기도,수원시 권선구,2018,355227610
경기도,성남시 수정구,2018,244291068
경기도,안양시 동안구,2018,323584132
경기도,남양주시,2018,702008430
경기도,양주시,2018,287896489
경기도,고양시 일산동구,2018,324159569
경기도,안산시 단원구,2018,375839983
경기도,구리시,2018,259811816
경기도,연천군,2018,39997868
경기도,고양시 덕양구,2018,519571024
경기도,광명시,2018,319706974
경기도,부천시,2018,665586650
경기도,시흥시,2018,619002670
경기도,여주시,2018,232485838
경기도,고양시 일산서구,2018,248607814
경기도,안양시 만안구,2018,253673327
경기도,의정부시,2018,380909066
경기도,파주시,2018,445440171
경기도,용인시 기흥구,2018,525472864
